,name,new label
0,BUS-114-1_2023-01-21_19-25-3.663354,U1
1,BUS-114-4_2023-01-22_14-16-12.198770,U2
2,BUS-115-3_2023-01-22_14-38-0.250020,U3
3,BUS-115-4_2023-01-22_14-59-56.741396,U4
4,BUS-127-1_2023-06-03_20-49-47.385834,U5
5,BUS-127-2_2023-06-03_20-24-44.574780,U6
6,BUS-128-1_2023-06-03_18-07-36.860664,U7
7,BUS-129-1_2023-09-01_15-04-41.559592,U8
8,BUS-129-2_2023-09-02_16-50-8.886882,U9
9,BUS_2023-09-01_14-24-3.896428,U10
10,DPSP-0877-AB-1_2023-02-22_19-51-21.616158,U11
11,DPSP-0948-ND-1_2023-02-23_17-49-22.377072,U12
12,DPSP-0952-AR-1_2023-02-22_20-07-0.416412,U13
13,DPSP-1022-AZ-1_2023-02-22_20-28-39.763125,U14
14,DPSP-1070-AS-1_2023-02-23_17-37-57.653301,U15
15,PAT-070-3_2023-01-22_15-24-28.812821,U16
16,PAT-071-3_2023-01-22_15-47-3.096602,U17
17,PAT-072-1_2023-01-22_17-17-58.363496,U18
18,PAT-073-1_2023-01-22_16-32-5.192404,U19
19,PAT-074-1_2023-01-22_16-55-50.887780,U20
20,PAT-096-AS-1_2023-03-31_22-43-21.629615,U21
21,PAT-096-AS-2_2023-03-31_22-01-12.056430,U22
22,PAT-097-1_2023-03-31_23-12-27.769723,U23
23,PAT-097-2_2023-03-31_23-36-59.835903,U24
24,PAT-098-1_2023-03-31_23-54-33.610785,U25
25,PAT-098-2_2023-04-01_19-40-18.096470,U26
26,PAT-099-1_2023-04-01_20-44-26.752081,U27
27,PAT-099-1_over exposed_2023-04-01_20-22-26.309591,U28
28,PAT-099-2_2023-04-01_21-02-38.730916,U29
29,PAT-100-1_weak_staining_2023-04-02_13-17-38.707987,U30
30,PAT-100-2_weak_staining_2023-04-02_14-09-25.697496,U31
31,PAT-101-1_2023-09-01_16-57-6.686687,U32
32,PAT-101-2_2023-09-02_17-04-12.388423,U33
33,PAT-102_2023-09-01_16-38-29.038320,U34
34,PAT-102_L-1-1_2023-09-02_17-20-25.667930,U35
35,PAT-103-2_2023-06-04_20-22-52.563088,U36
36,PAT-103-AF-1_2023-04-02_18-29-20.135184,U37
37,PAT-104-AR-1_2023-04-02_19-50-32.175255,U38
38,PAT-104-AR-2_2023-04-02_20-33-32.857049,U39
39,PAT-109-1_bright_2023-04-02_23-04-1.060515,U40
40,PAT-109-2_2023-06-03_23-38-20.797186,U41
41,PAT-110-1_2023-06-03_23-19-6.084884,U42
42,PAT-110-2_2023-06-03_22-59-24.516683,U43
43,PAT-112-1_2023-06-03_22-33-53.721916,U44
44,PAT-112-2_2023-06-03_22-06-35.496455,U45
45,PAT-113-1_2023-06-03_21-39-34.085634,U46
46,PAT-113-2_2023-06-03_21-09-44.336867,U47
47,PAT-131-1_2023-09-02_16-35-43.749269,U48
48,PAT-131-2_2023-09-02_15-47-52.202788,U49
49,PAT-132-1_2023-09-02_15-23-5.728238,U50
50,PAT-132-2_2023-09-01_19-43-49.891330,U51
51,PAT-154-1_2023-09-01_19-27-19.719418,U52
52,PAT-154-2_2023-09-01_19-07-16.763049,U53
53,PAT-155-1_2023-09-01_18-46-59.795032,U54
54,PAT-155-2_2023-09-01_18-23-18.646669,U55
55,PAT-156-1_2023-09-01_18-06-26.617721,U56
56,PAT-156-2_2023-09-01_17-45-17.472542,U57
57,PBC-1023-1_2023-01-22_19-59-54.633046,U58
58,PBC-171-IV_2023-02-23_18-12-37.334117,U59
59,PBC-225_AM-1_2023-09-01_17-29-14.626065,U60
60,PBC-225_AM-2_2023-09-01_17-13-18.783206,U61
61,PBC-267-AF_2023-03-04_00-34-8.639498,U62
62,PBC-370-AP-1_2023-04-01_00-25-37.014180,U63
63,PBC-370-AP-2_2023-04-01_00-35-45.821670,U64
64,PBC-370-AP-3_2023-04-01_00-44-11.032305,U65
65,PBC-370-AP-4_2023-04-01_01-05-32.527224,U66
66,PBC-398-AA_2023-03-01_17-37-2.400340,U67
67,PBC-404-1_2023-01-22_19-09-9.267139,U68
68,PBC-502-1_2023-01-22_17-49-38.429975,U69
69,PBC-553-AH_2023-02-23_18-24-43.158730,U70
70,PBC-555-1_2023-01-22_18-20-42.828807,U71
71,PBC-582-AA_2023-03-03_20-04-7.945698,U72
72,PBC-589-OR_2023-03-01_16-41-2.765139,U73
73,PBC-600-1_2023-03-04_00-03-46.919868,U74
74,PBC-603-1_2023-03-04_00-17-26.309296,U75
75,PBC-606-AE-1_2023-02-23_19-22-14.485040,U76
76,PBC-608-KH-1_2023-02-23_19-05-32.562115,U77
77,PBC-609-MT-1_2023-02-23_18-33-44.374756,U78
78,PBC-800-1_2023-01-22_21-30-44.794123,U79
79,PBC-801-1_2023-01-22_22-06-18.047215,U80
80,PCB-354-OG_2023-03-03_20-57-41.880295,U81
81,PCB-397-OT_2023-03-03_21-45-58.722936,U82
82,PCB-493-AC_2023-03-03_21-34-54.400971,U83
83,PCB-534-OP_2023-03-03_20-17-59.393826,U84
84,PCB-534-OP_2023-03-03_20-35-42.894606,U85
85,PCB-626-1_2023-03-03_22-00-1.624515,U86
86,PCB-654-AM_2023-03-03_21-20-44.745064,U87
87,SBC20230602_10G_2023-06-05_15-40-40.477123,H1
88,SBC20230602_10H_2023-06-05_16-05-15.992938,H2
89,SBC20230602_1A_2023-09-03_18-27-3.521005,H3
90,SBC20230602_1B_2023-09-03_18-48-12.880612,H4
91,SBC20230602_1C_2023-09-03_19-07-30.124986,H5
92,SBC20230602_1D_2023-09-09_15-04-0.086483,H6
93,SBC20230602_1E_2023-09-09_15-33-10.541948,H7
94,SBC20230602_1F_2023-06-03_15-15-38.885630,H8
95,SBC20230602_1G_2023-09-09_16-08-18.397964,H9
96,SBC20230602_1I_2023-06-03_15-41-32.961319,H10
97,SBC20230602_2A_2023-06-03_16-04-45.484949,H11
98,SBC20230602_2B_2023-06-03_16-39-26.873551,H12
99,SBC20230602_2C_gain12_2023-09-03_19-27-40.845769,H13
100,SBC20230602_2D_2023-09-05_16-36-23.026934,H14
101,SBC20230602_2E_2023-09-05_17-07-50.140376,H15
102,SBC20230602_2F_2023-09-07_10-45-10.806639,H16
103,SBC20230602_2G_2023-09-08_13-10-59.533667,H17
104,SBC20230602_2H_2023-09-08_12-42-19.453860,H18
105,SBC20230602_3A_2023-06-03_17-05-9.165534,H19
106,SBC20230602_3B_2023-06-03_17-45-18.973434,H20
107,SBC20230602_3B_2023-09-08_17-12-35.643016,H21
108,SBC20230602_3C_2023-09-05_18-21-45.975088,H22
109,SBC20230602_3D_2023-09-12_18-15-0.544268,H23
110,SBC20230602_3E_2023-09-12_19-43-50.164788,H24
111,SBC20230602_3F_2023-09-09_12-33-26.814161,H25
112,SBC20230602_3H_2023-09-09_13-03-5.816948,H26
113,SBC20230602_4A_2023-06-04_20-53-34.948404,H27
114,SBC20230602_4B_2023-06-04_21-23-20.771865,H28
115,SBC20230602_4C_2023-09-12_20-12-34.999144,H29
116,SBC20230602_4D_2023-09-12_20-28-50.681172,H30
117,SBC20230602_4E_2023-09-13_11-55-48.496584,H31
118,SBC20230602_4F_2023-09-09_13-32-10.476327,H32
119,SBC20230602_4G_2023-09-09_14-00-12.684095,H33
120,SBC20230602_4H_2023-09-09_14-33-52.399491,H34
121,SBC20230602_5A_2023-09-14_11-49-37.422086,H35
122,SBC20230602_5B_2023-06-04_21-45-54.703688,H36
123,SBC20230602_5C_2023-09-14_11-21-21.359509,H37
124,SBC20230602_5D_2023-09-13_15-49-6.950339,H38
125,SBC20230602_5E_2023-06-04_22-14-33.244160,H39
126,SBC20230602_5E_2023-09-11_19-20-31.015196,H40
127,SBC20230602_5G_2023-09-12_11-32-7.388357,H41
128,SBC20230602_6A_2023-06-04_22-56-0.605442,H42
129,SBC20230602_6A_2023-09-12_13-35-41.803347,H43
130,SBC20230602_6B_2023-09-13_14-49-27.853815,H44
131,SBC20230602_6C_2023-09-12_13-06-28.891321,H45
132,SBC20230602_6C_2023-09-13_13-50-41.891948,H46
133,SBC20230602_6D_2023-09-13_12-24-12.655819,H47
134,SBC20230602_6F_2023-06-05_09-38-38.551565,H48
135,SBC20230602_6G_2023-09-12_14-34-57.606346,H49
136,SBC20230602_7A_2023-09-13_12-53-6.636236,H50
137,SBC20230602_7B_2023-09-13_13-22-49.072435,H51
138,SBC20230602_7C_2023-06-05_09-53-46.290586,H52
139,SBC20230602_7D_2023-09-13_14-21-57.792135,H53
140,SBC20230602_7E_2023-09-12_10-30-57.125030,H54
141,SBC20230602_7F_2023-09-12_10-01-32.033830,H55
142,SBC20230602_7G_2023-09-12_11-02-6.708794,H56
143,SBC20230602_7I_2023-06-05_11-54-45.972269,H57
144,SBC20230602_8A_2023-09-13_15-20-6.800919,H58
145,SBC20230602_8B_2023-09-13_16-24-18.277232,H59
146,SBC20230602_8C_2023-09-14_12-22-41.129097,H60
147,SBC20230602_8D_2023-06-05_12-19-16.486962,H61
148,SBC20230602_8E_2023-06-05_13-04-7.207704,H62
149,SBC20230602_8F_2023-09-12_12-37-53.563138,H63
150,SBC20230602_8G_2023-09-12_14-07-1.846792,H64
151,SBC20230602_8H_2023-09-14_12-52-0.168034,H65
152,SBC20230602_9D_2023-06-05_14-20-55.465888,H66
153,SBC20230602_9F_2023-06-05_14-36-4.257248,H67
154,SBC_2022-02-22_4uL-Med-A_2023-02-21_17-56-27.851194,H68
155,SBC_2022-02-22_4uL-Med-B_2023-02-21_18-28-0.005527,H69
156,SBC_2022-03-14_3uL-Med-C_2023-02-21_18-59-7.099675,H70
157,SBC_2022-10-20_LIR01-A_2023-02-21_16-35-33.147488,H71
158,SBC_2022-10-20_LIR01-B_2023-02-21_16-55-6.258406,H72
159,SBC_2022-10-20_LIR01-C_2023-02-21_17-19-31.401096,H73
160,SBC_2022-10-20_LIR01-D_2023-02-21_17-40-55.531778,H74
161,SBC_2022-10-20_LIR02-A_2023-02-17_17-03-20.981024,H75
162,SBC_2022-10-20_LIR02-B_2023-02-21_16-14-17.600472,H76
163,Fingerprick_HL_2023-01-27_B01_2023-02-17_13-04-48.321619,H77
164,Fingerprick_HL_2023-01-27_B02_2023-02-17_15-31-53.777898,H78
165,Fingerprick_HL_2023-01-27_B03_2023-02-17_15-50-57.776833,H79
166,Fingerprick_HL_2023-01-27_C02_2023-02-17_16-13-57.571627,H80
167,Fingerprick_HL_2023-01-27_C03_2023-02-17_16-35-37.082487,H81
